,Customers,Sales_Amount,Transaction,Avg_Transaction_Value,DaysSinceLastPurchase,Recency,Frequency,Monetary,Segment
184,018caf37-f6dd-4176-aed9-35464f870189,358.64999999999986,9,39.84999999999999,23,2,1,1,Big spenders
185,018dd3d1-2e29-4be7-abea-3577726db522,3.95,1,3.95,54,2,3,3,Lappsed
186,018ebad5-b0f2-4f2c-b1d4-354d726daf89,19.7,2,9.85,106,3,2,2,Inactive Accounts
187,018ecebf-aa04-4d61-9cd9-356e04be90a8,7.65,1,7.65,102,3,3,3,Inactive Accounts
188,018f16d9-53f2-43c0-8e9f-3575a84c808b,7.9,2,3.95,63,2,2,3,Lappsed
189,019e0157-41a5-487a-af10-357585afcbdf,26.4,2,13.2,6,1,2,2,Recent low value
190,019ec99c-0839-41d7-9124-35502165d376,57.000000000000014,4,14.250000000000004,90,3,2,2,Inactive Accounts
191,01a0e30f-c6e4-40bf-b038-3577b9b5db11,13.35,1,13.35,47,2,3,2,Lappsed
192,01a15cc0-80bc-4bf7-a945-357b6c040ea5,7.0,1,7.0,31,2,3,3,Lappsed
193,01a2d11b-5b32-4162-b9f1-356b6e8d12c0,67.6,4,16.9,115,3,2,2,Inactive Accounts
194,01a63978-b2a7-4204-b5a1-357b4386386d,36.099999999999994,2,18.049999999999997,26,2,2,2,Lappsed
195,01aa586c-1f20-4687-a736-357d2ae26fcb,12.7,2,6.35,25,2,2,3,Lappsed
196,01ae6d58-1d6f-40cd-856f-3531dc2603b5,219.79999999999993,7,31.399999999999988,102,3,1,1,Loyal Lapsed
197,01b31d82-8820-4a65-9335-354e2eafe0a9,500.8499999999995,9,55.64999999999995,99,3,1,1,Loyal Lapsed
198,01b66d31-308c-4c80-b87e-35814d692eed,4.55,1,4.55,4,1,3,3,Recent low value
199,01b9dbc3-e9e5-470a-8ccd-356c9ce4e7d6,4.95,1,4.95,109,3,3,3,Inactive Accounts
200,01bc200a-79f5-4f22-9533-356020d2fb8f,51.15000000000001,3,17.050000000000004,103,3,2,2,Inactive Accounts
201,01be1b4f-5173-4774-a186-3574ad2dbf0a,3.95,1,3.95,68,3,3,3,Inactive Accounts
202,01c0c6ff-d870-481d-9c0c-357083118950,26.7,3,8.9,55,2,2,2,Lappsed
203,01c3cb5c-26a1-484f-99a7-356c6a5d7835,10.7,2,5.35,110,3,2,3,Inactive Accounts
204,01c6c1aa-3db2-4e6a-a429-352c1da1b816,135.29999999999998,6,22.549999999999997,23,2,1,1,Big spenders
205,01c7ea83-78de-4c6b-b3b0-35697512ebbe,80.79999999999998,4,20.199999999999996,17,1,2,2,Recent low value
206,01cbb53b-c393-4db0-9a67-352c0f838c35,306.8999999999999,9,34.099999999999994,2,1,1,1,Best Customers
207,01cde928-18a7-4a22-92c8-355c6a0a8639,3.95,1,3.95,105,3,3,3,Inactive Accounts
208,01d02bb4-df84-4ddc-bc8c-354d650f2733,12.1,1,12.1,31,2,3,2,Lappsed
209,01d0acdc-82e2-4738-8856-353695776bd1,150.0,6,25.0,35,2,1,1,Big spenders
210,01d12e0f-7350-4c9a-93f1-35678987c3d3,276.39999999999986,8,34.54999999999998,67,2,1,1,Big spenders
211,01dac41b-77ca-4912-9cf5-3549dab3da76,41.7,3,13.9,34,2,2,2,Lappsed
